assumed_placeholder_mtbf_days,lambda_known_per_day,lambda_placeholder_total_per_day,lambda_system_per_day,R_turbine,Q_turbine,t_days
500.0,0.0012057597638850616,0.012,0.013205759763885062,3.402883001373846e-11,0.9999999999659712,1825.25
830.5,0.0012057597638850616,0.007224489795918367,0.008430249559803428,2.07670528844854e-07,0.9999997923294711,1825.25
1161.0,0.0012057597638850616,0.005167883211678832,0.006373642975563894,8.864182483374169e-06,0.9999911358175166,1825.25
1491.5,0.0012057597638850616,0.0040227272727272724,0.005228487036612334,7.16802025479629e-05,0.999928319797452,1825.25
1822.0,0.0012057597638850616,0.0032930232558139537,0.004498783019699015,0.0002715392921196339,0.9997284607078804,1825.25
2152.5,0.0012057597638850616,0.00278740157480315,0.0039931613386882114,0.0006833401947582837,0.9993166598052418,1825.25
2483.1,0.0012057597638850616,0.002416382252559727,0.0036221420164447883,0.001345062611762082,0.998654937388238,1825.25
2813.6,0.0012057597638850616,0.002132530120481928,0.0033382898843669897,0.002258140456063869,0.9977418595439361,1825.25
3144.1,0.0012057597638850616,0.001908355795148248,0.00311411555903331,0.00339979744503105,0.996600202554969,1825.25
3474.6,0.0012057597638850616,0.001726829268292683,0.0029325890321777446,0.004735309780280508,0.9952646902197195,1825.25
3805.1,0.0012057597638850616,0.0015768374164810692,0.002782597180366131,0.006226533612853433,0.9937734663871466,1825.25
4135.6,0.0012057597638850616,0.0014508196721311475,0.0026565794360162093,0.00783682410303895,0.992163175896961,1825.25
4466.1,0.0012057597638850616,0.0013434535104364326,0.002549213274321494,0.009533422192699856,0.9904665778073002,1825.25
4796.6,0.0012057597638850616,0.0012508833922261484,0.00245664315611121,0.011288306402691477,0.9887116935973085,1825.25
5127.1,0.0012057597638850616,0.0011702479338842975,0.002376007697769359,0.013078206627356375,0.9869217933726436,1825.25
5457.6,0.0012057597638850616,0.0010993788819875778,0.002305138645872639,0.014884210686278258,0.9851157893137218,1825.25
5788.1,0.0012057597638850616,0.0010366032210834555,0.002242362984968517,0.016691210118848103,0.9833087898811519,1825.25
6118.6,0.0012057597638850616,0.0009806094182825485,0.00218636918216761,0.018487316996725928,0.9815126830032741,1825.25
6449.2,0.0012057597638850616,0.0009303547963206308,0.0021361145602056923,0.020263316410907443,0.9797366835890926,1825.25
6779.7,0.0012057597638850616,0.000885,0.0020907597638850617,0.022012181836455244,0.9779878181635447,1825.25
7110.2,0.0012057597638850616,0.0008438617401668654,0.002049621504051927,0.023728660675394496,0.9762713393246055,1825.25
7440.7,0.0012057597638850616,0.0008063781321184511,0.0020121378960035125,0.02540892738953812,0.9745910726104619,1825.25
7771.2,0.0012057597638850616,0.000772082878953108,0.0019778426428381695,0.027050297277056472,0.9729497027229436,1825.25
8101.7,0.0012057597638850616,0.0007405857740585774,0.001946345537943639,0.02865099253025353,0.9713490074697465,1825.25
8432.2,0.0012057597638850616,0.0007115577889447236,0.0019173175528297852,0.030209952276726435,0.9697900477232736,1825.25
8762.7,0.0012057597638850616,0.0006847195357833656,0.0018904792996684273,0.0317266790476037,0.9682733209523963,1825.25
9093.2,0.0012057597638850616,0.0006598322460391427,0.0018655920099242044,0.03320111510531831,0.9667988848946817,1825.25
9423.7,0.0012057597638850616,0.0006366906474820145,0.001842450411367076,0.03463354308026862,0.9653664569197313,1825.25
